,Province_State,Date,Confirmed Cases,new_cases,Confirmed_Cases_log,7day_avg,14day_avg,21day_avg
3,Alabama,2020-01-25,0,0.0,0.0,0.0,0.0,0.0
34083,Tennessee,2020-01-25,0,0.0,0.0,0.0,0.0,0.0
40473,Wyoming,2020-01-25,0,0.0,0.0,0.0,0.0,0.0
12073,Illinois,2020-01-25,1,0.0,0.6931471805599453,0.25,0.25,0.25
7813,Florida,2020-01-25,0,0.0,0.0,0.0,0.0,0.0
33373,South Dakota,2020-01-25,0,0.0,0.0,0.0,0.0,0.0
13493,Iowa,2020-01-25,0,0.0,0.0,0.0,0.0,0.0
34793,Texas,2020-01-25,0,0.0,0.0,0.0,0.0,0.0
26273,North Carolina,2020-01-25,0,0.0,0.0,0.0,0.0,0.0
22013,Nebraska,2020-01-25,0,0.0,0.0,0.0,0.0,0.0
14203,Kansas,2020-01-25,0,0.0,0.0,0.0,0.0,0.0
6393,Diamond Princess,2020-01-25,0,0.0,0.0,0.0,0.0,0.0
25563,New York,2020-01-25,0,0.0,0.0,0.0,0.0,0.0
12783,Indiana,2020-01-25,0,0.0,0.0,0.0,0.0,0.0
11363,Idaho,2020-01-25,0,0.0,0.0,0.0,0.0,0.0
22723,Nevada,2020-01-25,0,0.0,0.0,0.0,0.0,0.0
8523,Georgia,2020-01-25,0,0.0,0.0,0.0,0.0,0.0
26984,North Dakota,2020-01-26,0,0.0,0.0,0.0,0.0,0.0
10654,Hawaii,2020-01-26,0,0.0,0.0,0.0,0.0,0.0
29114,Oklahoma,2020-01-26,0,0.0,0.0,0.0,0.0,0.0
24854,New Mexico,2020-01-26,0,0.0,0.0,0.0,0.0,0.0
9234,Grand Princess,2020-01-26,0,0.0,0.0,0.0,0.0,0.0
23434,New Hampshire,2020-01-26,0,0.0,0.0,0.0,0.0,0.0
5684,Delaware,2020-01-26,0,0.0,0.0,0.0,0.0,0.0
38344,Washington,2020-01-26,1,0.0,0.6931471805599453,0.0,0.0,0.0
17044,Maryland,2020-01-26,0,0.0,0.0,0.0,0.0,0.0
33374,South Dakota,2020-01-26,0,0.0,0.0,0.0,0.0,0.0
27694,Northern Mariana Islands,2020-01-26,0,0.0,0.0,0.0,0.0,0.0
25564,New York,2020-01-26,0,0.0,0.0,0.0,0.0,0.0
8524,Georgia,2020-01-26,0,0.0,0.0,0.0,0.0,0.0
35504,Utah,2020-01-26,0,0.0,0.0,0.0,0.0,0.0
2844,Arkansas,2020-01-26,0,0.0,0.0,0.0,0.0,0.0
34084,Tennessee,2020-01-26,0,0.0,0.0,0.0,0.0,0.0
16334,Maine,2020-01-26,0,0.0,0.0,0.0,0.0,0.0
12784,Indiana,2020-01-26,0,0.0,0.0,0.0,0.0,0.0
19174,Minnesota,2020-01-26,0,0.0,0.0,0.0,0.0,0.0
3554,California,2020-01-26,2,2.0,1.0986122886681098,0.4,0.4,0.4
28404,Ohio,2020-01-26,0,0.0,0.0,0.0,0.0,0.0
22724,Nevada,2020-01-26,0,0.0,0.0,0.0,0.0,0.0
9944,Guam,2020-01-26,0,0.0,0.0,0.0,0.0,0.0
6394,Diamond Princess,2020-01-26,0,0.0,0.0,0.0,0.0,0.0
19884,Mississippi,2020-01-26,0,0.0,0.0,0.0,0.0,0.0
7104,District of Columbia,2020-01-26,0,0.0,0.0,0.0,0.0,0.0
15624,Louisiana,2020-01-26,0,0.0,0.0,0.0,0.0,0.0
26274,North Carolina,2020-01-26,0,0.0,0.0,0.0,0.0,0.0
4,Alabama,2020-01-26,0,0.0,0.0,0.0,0.0,0.0
39764,Wisconsin,2020-01-26,0,0.0,0.0,0.0,0.0,0.0
20594,Missouri,2020-01-26,0,0.0,0.0,0.0,0.0,0.0
36924,Virgin Islands,2020-01-26,0,0.0,0.0,0.0,0.0,0.0
12074,Illinois,2020-01-26,1,0.0,0.6931471805599453,0.2,0.2,0.2
31244,Puerto Rico,2020-01-26,0,0.0,0.0,0.0,0.0,0.0
7814,Florida,2020-01-26,0,0.0,0.0,0.0,0.0,0.0
36214,Vermont,2020-01-26,0,0.0,0.0,0.0,0.0,0.0
13494,Iowa,2020-01-26,0,0.0,0.0,0.0,0.0,0.0
34794,Texas,2020-01-26,0,0.0,0.0,0.0,0.0,0.0
17754,Massachusetts,2020-01-26,0,0.0,0.0,0.0,0.0,0.0
2134,Arizona,2020-01-26,1,1.0,0.6931471805599453,0.2,0.2,0.2
32664,South Carolina,2020-01-26,0,0.0,0.0,0.0,0.0,0.0
39054,West Virginia,2020-01-26,0,0.0,0.0,0.0,0.0,0.0
11364,Idaho,2020-01-26,0,0.0,0.0,0.0,0.0,0.0
14914,Kentucky,2020-01-26,0,0.0,0.0,0.0,0.0,0.0
21304,Montana,2020-01-26,0,0.0,0.0,0.0,0.0,0.0
22014,Nebraska,2020-01-26,0,0.0,0.0,0.0,0.0,0.0
4974,Connecticut,2020-01-26,0,0.0,0.0,0.0,0.0,0.0
40474,Wyoming,2020-01-26,0,0.0,0.0,0.0,0.0,0.0
14204,Kansas,2020-01-26,0,0.0,0.0,0.0,0.0,0.0
1424,American Samoa,2020-01-26,0,0.0,0.0,0.0,0.0,0.0
29824,Oregon,2020-01-26,0,0.0,0.0,0.0,0.0,0.0
714,Alaska,2020-01-26,0,0.0,0.0,0.0,0.0,0.0
18464,Michigan,2020-01-26,0,0.0,0.0,0.0,0.0,0.0
37634,Virginia,2020-01-26,0,0.0,0.0,0.0,0.0,0.0
4264,Colorado,2020-01-26,0,0.0,0.0,0.0,0.0,0.0
30534,Pennsylvania,2020-01-26,0,0.0,0.0,0.0,0.0,0.0
31954,Rhode Island,2020-01-26,0,0.0,0.0,0.0,0.0,0.0
24144,New Jersey,2020-01-26,0,0.0,0.0,0.0,0.0,0.0
19885,Mississippi,2020-01-27,0,0.0,0.0,0.0,0.0,0.0
6395,Diamond Princess,2020-01-27,0,0.0,0.0,0.0,0.0,0.0
21305,Montana,2020-01-27,0,0.0,0.0,0.0,0.0,0.0
7105,District of Columbia,2020-01-27,0,0.0,0.0,0.0,0.0,0.0
15625,Louisiana,2020-01-27,0,0.0,0.0,0.0,0.0,0.0
22015,Nebraska,2020-01-27,0,0.0,0.0,0.0,0.0,0.0
26275,North Carolina,2020-01-27,0,0.0,0.0,0.0,0.0,0.0
14915,Kentucky,2020-01-27,0,0.0,0.0,0.0,0.0,0.0
24855,New Mexico,2020-01-27,0,0.0,0.0,0.0,0.0,0.0
2845,Arkansas,2020-01-27,0,0.0,0.0,0.0,0.0,0.0
25565,New York,2020-01-27,0,0.0,0.0,0.0,0.0,0.0
20595,Missouri,2020-01-27,0,0.0,0.0,0.0,0.0,0.0
8525,Georgia,2020-01-27,0,0.0,0.0,0.0,0.0,0.0
40475,Wyoming,2020-01-27,0,0.0,0.0,0.0,0.0,0.0
31955,Rhode Island,2020-01-27,0,0.0,0.0,0.0,0.0,0.0
39765,Wisconsin,2020-01-27,0,0.0,0.0,0.0,0.0,0.0
22725,Nevada,2020-01-27,0,0.0,0.0,0.0,0.0,0.0
39055,West Virginia,2020-01-27,0,0.0,0.0,0.0,0.0,0.0
28405,Ohio,2020-01-27,0,0.0,0.0,0.0,0.0,0.0
7815,Florida,2020-01-27,0,0.0,0.0,0.0,0.0,0.0
5,Alabama,2020-01-27,0,0.0,0.0,0.0,0.0,0.0
3555,California,2020-01-27,2,0.0,1.0986122886681098,0.33,0.33,0.33
26985,North Dakota,2020-01-27,0,0.0,0.0,0.0,0.0,0.0
19175,Minnesota,2020-01-27,0,0.0,0.0,0.0,0.0,0.0
12785,Indiana,2020-01-27,0,0.0,0.0,0.0,0.0,0.0
32665,South Carolina,2020-01-27,0,0.0,0.0,0.0,0.0,0.0
16335,Maine,2020-01-27,0,0.0,0.0,0.0,0.0,0.0
2135,Arizona,2020-01-27,1,0.0,0.6931471805599453,0.17,0.17,0.17
9945,Guam,2020-01-27,0,0.0,0.0,0.0,0.0,0.0
11365,Idaho,2020-01-27,0,0.0,0.0,0.0,0.0,0.0
36925,Virgin Islands,2020-01-27,0,0.0,0.0,0.0,0.0,0.0
18465,Michigan,2020-01-27,0,0.0,0.0,0.0,0.0,0.0
17755,Massachusetts,2020-01-27,0,0.0,0.0,0.0,0.0,0.0
27695,Northern Mariana Islands,2020-01-27,0,0.0,0.0,0.0,0.0,0.0
30535,Pennsylvania,2020-01-27,0,0.0,0.0,0.0,0.0,0.0
37635,Virginia,2020-01-27,0,0.0,0.0,0.0,0.0,0.0
5685,Delaware,2020-01-27,0,0.0,0.0,0.0,0.0,0.0
23435,New Hampshire,2020-01-27,0,0.0,0.0,0.0,0.0,0.0
29115,Oklahoma,2020-01-27,0,0.0,0.0,0.0,0.0,0.0
715,Alaska,2020-01-27,0,0.0,0.0,0.0,0.0,0.0
34795,Texas,2020-01-27,0,0.0,0.0,0.0,0.0,0.0
9235,Grand Princess,2020-01-27,0,0.0,0.0,0.0,0.0,0.0
29825,Oregon,2020-01-27,0,0.0,0.0,0.0,0.0,0.0
10655,Hawaii,2020-01-27,0,0.0,0.0,0.0,0.0,0.0
4975,Connecticut,2020-01-27,0,0.0,0.0,0.0,0.0,0.0
1425,American Samoa,2020-01-27,0,0.0,0.0,0.0,0.0,0.0
33375,South Dakota,2020-01-27,0,0.0,0.0,0.0,0.0,0.0
38345,Washington,2020-01-27,1,0.0,0.6931471805599453,0.0,0.0,0.0
17045,Maryland,2020-01-27,0,0.0,0.0,0.0,0.0,0.0
35505,Utah,2020-01-27,0,0.0,0.0,0.0,0.0,0.0
13495,Iowa,2020-01-27,0,0.0,0.0,0.0,0.0,0.0
4265,Colorado,2020-01-27,0,0.0,0.0,0.0,0.0,0.0
14205,Kansas,2020-01-27,0,0.0,0.0,0.0,0.0,0.0
34085,Tennessee,2020-01-27,0,0.0,0.0,0.0,0.0,0.0
31245,Puerto Rico,2020-01-27,0,0.0,0.0,0.0,0.0,0.0
12075,Illinois,2020-01-27,1,0.0,0.6931471805599453,0.17,0.17,0.17
36215,Vermont,2020-01-27,0,0.0,0.0,0.0,0.0,0.0
24145,New Jersey,2020-01-27,0,0.0,0.0,0.0,0.0,0.0
6,Alabama,2020-01-28,0,0.0,0.0,0.0,0.0,0.0
9946,Guam,2020-01-28,0,0.0,0.0,0.0,0.0,0.0
36926,Virgin Islands,2020-01-28,0,0.0,0.0,0.0,0.0,0.0
19176,Minnesota,2020-01-28,0,0.0,0.0,0.0,0.0,0.0
18466,Michigan,2020-01-28,0,0.0,0.0,0.0,0.0,0.0
17756,Massachusetts,2020-01-28,0,0.0,0.0,0.0,0.0,0.0
4976,Connecticut,2020-01-28,0,0.0,0.0,0.0,0.0,0.0
36216,Vermont,2020-01-28,0,0.0,0.0,0.0,0.0,0.0
34086,Tennessee,2020-01-28,0,0.0,0.0,0.0,0.0,0.0
29116,Oklahoma,2020-01-28,0,0.0,0.0,0.0,0.0,0.0
6396,Diamond Princess,2020-01-28,0,0.0,0.0,0.0,0.0,0.0
40476,Wyoming,2020-01-28,0,0.0,0.0,0.0,0.0,0.0
24856,New Mexico,2020-01-28,0,0.0,0.0,0.0,0.0,0.0
34796,Texas,2020-01-28,0,0.0,0.0,0.0,0.0,0.0
7106,District of Columbia,2020-01-28,0,0.0,0.0,0.0,0.0,0.0
